                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2162,                 1.1063,                 1.4634,                 0.8832,                0.84659,                 0.9111,                0.61297,                 1.1647,                0.74263,                 1.4431,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.2161,                 1.1007,                  1.466,                0.88132,                0.84888,                0.91155,                0.61382,                 1.1634,                0.74083,                 1.4417,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.1644,                 1.0322,                 1.4311,                0.88246,                0.84891,                0.91173,                 0.6145,                 1.1626,                0.73949,                 1.4409,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.1956,                 1.0741,                 1.4513,                0.88208,                0.85002,                0.91262,                0.61499,                 1.1617,                0.73816,                 1.4398,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.2127,                 1.1002,                 1.4646,                0.88195,                0.84984,                0.91275,                0.61565,                 1.1607,                0.73708,                 1.4389,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.2061,                 1.1008,                 1.4641,                0.88245,                 0.8497,                0.91246,                0.61611,                 1.1598,                 0.7361,                  1.438,               0.009109,               0.009109,               0.009109
                     93,                 1.2157,                  1.096,                 1.4675,                0.88218,                 0.8496,                0.91274,                0.61658,                 1.1587,                  0.735,                 1.4368,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.2224,                 1.1124,                 1.4708,                0.88119,                0.84997,                  0.913,                0.61742,                 1.1575,                0.73388,                  1.436,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.2201,                  1.098,                 1.4639,                0.88129,                0.84995,                0.91359,                0.61764,                 1.1567,                0.73278,                 1.4352,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.2212,                 1.1173,                 1.4698,                0.88122,                0.85088,                0.91398,                0.61832,                 1.1557,                0.73159,                 1.4343,              0.0090694,              0.0090694,              0.0090694
                     97,                  1.225,                 1.1122,                 1.4699,                0.88123,                0.85056,                0.91411,                0.61858,                 1.1546,                0.73042,                 1.4332,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.2187,                 1.1066,                 1.4646,                0.88169,                0.85087,                 0.9142,                 0.6191,                 1.1536,                0.72905,                 1.4321,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.2145,                 1.1064,                 1.4668,                0.88127,                0.85184,                0.91535,                0.61977,                 1.1524,                0.72807,                  1.431,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.2179,                 1.1062,                 1.4677,                 0.8806,                 0.8534,                0.91522,                0.62056,                 1.1511,                 0.7269,                 1.4298,              0.0090298,              0.0090298,              0.0090298
