                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.98726,                0.78171,                 1.2792,                0.94089,                0.93613,                0.97123,                0.75685,                0.86676,                0.46511,                  1.171,                0.00901,                0.00901,                0.00901
                    103,                0.98442,                0.77612,                 1.2788,                0.94122,                0.93539,                0.97153,                0.75775,                0.86462,                0.46343,                 1.1691,              0.0090001,              0.0090001,              0.0090001
                    104,                0.98194,                0.77967,                 1.2765,                0.94167,                0.93664,                0.97187,                0.75844,                0.86243,                0.46249,                  1.167,              0.0089902,              0.0089902,              0.0089902
                    105,                0.98223,                0.77595,                 1.2765,                0.94077,                0.93864,                0.97209,                0.75923,                0.86076,                 0.4615,                 1.1657,              0.0089803,              0.0089803,              0.0089803
                    106,                0.98407,                0.77318,                   1.28,                 0.9407,                0.93956,                0.97247,                0.76023,                0.85869,                0.46019,                 1.1637,              0.0089704,              0.0089704,              0.0089704
                    107,                0.98821,                0.78217,                 1.2791,                0.94112,                 0.9399,                0.97257,                 0.7609,                0.85652,                0.45864,                 1.1619,              0.0089605,              0.0089605,              0.0089605
                    108,                0.98033,                0.77298,                 1.2698,                0.94159,                0.94066,                0.97304,                0.76153,                0.85423,                0.45735,                 1.1597,              0.0089506,              0.0089506,              0.0089506
                    109,                0.97447,                0.76304,                 1.2692,                 0.9406,                0.94229,                0.97318,                0.76278,                0.85196,                0.45612,                 1.1577,              0.0089407,              0.0089407,              0.0089407
                    110,                0.97227,                0.77246,                 1.2705,                0.94124,                0.94315,                 0.9732,                0.76312,                 0.8501,                0.45486,                 1.1561,              0.0089308,              0.0089308,              0.0089308
                    111,                0.97153,                0.76324,                 1.2656,                0.94181,                 0.9428,                0.97337,                0.76397,                  0.848,                0.45366,                 1.1542,              0.0089209,              0.0089209,              0.0089209
                    112,                 0.9742,                 0.7617,                 1.2673,                0.94176,                0.94273,                0.97354,                0.76507,                0.84556,                0.45219,                  1.152,               0.008911,               0.008911,               0.008911
                    113,                0.96678,                0.76392,                 1.2653,                0.94122,                0.94385,                0.97364,                0.76615,                0.84331,                0.45104,                 1.1497,              0.0089011,              0.0089011,              0.0089011
                    114,                0.96578,                0.76729,                 1.2661,                0.93962,                0.94461,                0.97348,                0.76664,                0.84103,                0.45011,                 1.1477,              0.0088912,              0.0088912,              0.0088912
                    115,                0.96608,                0.76672,                 1.2646,                0.94013,                0.94564,                0.97398,                0.76819,                0.83868,                0.44923,                 1.1454,              0.0088813,              0.0088813,              0.0088813
                    116,                0.96541,                0.76189,                 1.2673,                0.94027,                0.94614,                0.97424,                 0.7692,                0.83625,                0.44806,                 1.1432,              0.0088714,              0.0088714,              0.0088714
                    117,                0.95801,                0.75677,                 1.2625,                0.93964,                0.94708,                 0.9743,                0.76995,                0.83437,                0.44652,                 1.1414,              0.0088615,              0.0088615,              0.0088615
                    118,                0.96059,                0.75569,                 1.2566,                0.93877,                0.94771,                0.97438,                0.77058,                0.83203,                0.44535,                 1.1393,              0.0088516,              0.0088516,              0.0088516
                    119,                0.91729,                0.70682,                 1.2355,                0.93924,                0.94762,                0.97435,                 0.7711,                0.83078,                0.44447,                 1.1381,              0.0088417,              0.0088417,              0.0088417
                    120,                0.95369,                0.74022,                 1.2586,                0.94107,                0.94574,                0.97422,                0.77112,                0.82933,                0.44383,                  1.137,              0.0088318,              0.0088318,              0.0088318
                    121,                0.96517,                0.75235,                 1.2636,                0.94068,                 0.9468,                 0.9743,                  0.772,                0.82786,                0.44277,                 1.1358,              0.0088219,              0.0088219,              0.0088219
                    122,                0.96526,                0.76906,                 1.2702,                0.93961,                 0.9478,                0.97433,                0.77275,                0.82636,                0.44185,                 1.1347,               0.008812,               0.008812,               0.008812
                    123,                0.96738,                0.75845,                  1.265,                0.94012,                0.94763,                0.97441,                0.77319,                0.82492,                  0.441,                 1.1334,              0.0088021,              0.0088021,              0.0088021
                    124,                0.97856,                0.76954,                 1.2745,                0.94068,                0.94764,                0.97441,                0.77328,                0.82364,                0.43989,                 1.1322,              0.0087922,              0.0087922,              0.0087922
                    125,                0.97327,                0.76229,                 1.2687,                0.94112,                0.94843,                0.97461,                 0.7735,                0.82211,                0.43915,                 1.1309,              0.0087823,              0.0087823,              0.0087823
                    126,                0.97618,                0.77558,                  1.274,                0.94169,                0.94798,                0.97479,                0.77429,                0.82072,                0.43867,                 1.1296,              0.0087724,              0.0087724,              0.0087724
                    127,                0.97515,                0.77234,                 1.2751,                0.94141,                0.94801,                0.97491,                0.77468,                0.81981,                0.43777,                 1.1291,              0.0087625,              0.0087625,              0.0087625
                    128,                0.97133,                 0.7703,                 1.2706,                0.94184,                0.94768,                0.97495,                 0.7751,                0.81838,                 0.4369,                 1.1279,              0.0087526,              0.0087526,              0.0087526
                    129,                0.97103,                0.76815,                 1.2722,                0.94131,                0.94857,                0.97497,                0.77568,                0.81694,                0.43611,                 1.1268,              0.0087427,              0.0087427,              0.0087427
                    130,                0.97026,                 0.7681,                 1.2697,                0.94063,                 0.9494,                0.97504,                0.77607,                0.81563,                0.43562,                 1.1256,              0.0087328,              0.0087328,              0.0087328
                    131,                0.96484,                0.75746,                 1.2647,                0.94038,                0.94897,                0.97501,                0.77662,                  0.814,                0.43498,                 1.1239,              0.0087229,              0.0087229,              0.0087229
                    132,                 0.9632,                0.75895,                 1.2633,                0.94024,                0.95014,                0.97514,                0.77707,                0.81243,                0.43419,                 1.1225,               0.008713,               0.008713,               0.008713
                    133,                0.96116,                 0.7545,                 1.2592,                0.94132,                 0.9494,                0.97518,                0.77751,                  0.811,                0.43326,                 1.1212,              0.0087031,              0.0087031,              0.0087031
